Player,Career Span,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Highest Innings Score Num,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Country,Player Count,5000+ Runs Scored,40+ Batting Avg,90+ Batting Strike Rate
EJG Morgan (2009-2018),2009-2018,2009,2018,189,176,27,5813,124*,124,39.01,6310,92.12,10,36,11,England,1,1,0,1
IR Bell (2004-2015),2004-2015,2004,2015,161,157,14,5416,141,141,37.87,7019,77.16,4,35,6,England,1,1,0,0
PD Collingwood (2001-2011),2001-2011,2001,2011,197,181,37,5092,120*,120,35.36,6614,76.98,5,26,7,England,1,1,0,0
JE Root (2013-2018),2013-2018,2013,2018,121,115,19,4946,133*,133,51.52,5722,86.43,13,29,4,England,1,0,1,0
AJ Stewart (1989-2003),1989-2003,1989,2003,170,162,14,4677,116,116,31.60,6841,68.36,4,28,13,England,1,0,0,0
KP Pietersen (2004-2013),2004-2013,2004,2013,134,123,16,4422,130,130,41.32,5100,86.70,9,25,7,England,1,0,1,0
ME Trescothick (2000-2006),2000-2006,2000,2006,123,122,6,4335,137,137,37.37,5087,85.21,12,21,13,England,1,0,0,0
GA Gooch (1976-1995),1976-1995,1976,1995,125,122,6,4290,142,142,36.98,6932,61.88,8,23,4,England,1,0,0,0
AJ Strauss (2003-2011),2003-2011,2003,2011,127,126,8,4205,158,158,35.63,5195,80.94,6,27,9,England,1,0,0,0
AJ Lamb (1982-1992),1982-1992,1982,1992,122,118,16,4010,118,118,39.31,5308,75.54,4,26,8,England,1,0,0,0
GA Hick (1991-2001),1991-2001,1991,2001,120,118,15,3846,126*,126,37.33,5191,74.08,5,27,10,England,1,0,0,0
NV Knight (1996-2003),1996-2003,1996,2003,100,100,10,3637,125*,125,40.41,5085,71.52,5,25,6,England,1,0,1,0
A Flintoff (1999-2009),1999-2009,1999,2009,138,119,16,3293,123,123,31.97,3694,89.14,3,18,9,England,1,0,0,0
AN Cook (2006-2014),2006-2014,2006,2014,92,92,4,3204,137,137,36.40,4154,77.13,5,19,7,England,1,0,0,0
JC Buttler (2012-2018),2012-2018,2012,2018,122,101,21,3176,129,129,39.70,2715,116.97,6,18,11,England,1,0,0,1
DI Gower (1978-1991),1978-1991,1978,1991,114,111,8,3170,158,158,30.77,4218,75.15,7,12,6,England,1,0,0,0
IJL Trott (2009-2013),2009-2013,2009,2013,68,65,10,2819,137,137,51.25,3658,77.06,4,22,5,England,1,0,1,0
RS Bopara (2007-2015),2007-2015,2007,2015,120,109,21,2695,101*,101,30.62,3462,77.84,1,14,4,England,1,0,0,0
JJ Roy (2015-2018),2015-2018,2015,2018,70,69,2,2536,180,180,37.85,2433,104.23,6,12,7,England,1,0,0,1
RA Smith (1988-1996),1988-1996,1988,1996,71,70,8,2419,167*,167,39.01,3473,69.65,4,15,4,England,1,0,0,0
GP Thorpe (1993-2002),1993-2002,1993,2002,82,77,13,2380,89,89,37.18,3344,71.17,0,21,3,England,1,0,0,0
N Hussain (1989-2003),1989-2003,1989,2003,88,87,10,2332,115,115,30.28,3481,66.99,1,16,6,England,1,0,0,0
